ID,SMILES,Filtered Abnormal Hepatic Fun _IC50,Filtered Cholecystiti_IC50,Filtered Cholelitiasi_IC50,Filtered Cholestasi_IC50,Filtered cholestatic Jaundice_IC50,Filtered Hepatic Failure_IC50,Filtered Hepatic necrosi_IC50,Filtered Hepatic Steatosi_IC50,Filtered Hepatiti_IC50,Filtered HepatoBiliary disorder_IC50,Filtered HepatoCellular injury_IC50,Filtered Hepatomegaly_IC50,Filtered Hepatotoxicity_IC50,Filtered Hyperbilirubinemia_IC50,Filtered Jaundice_IC50,Filtered Liver Injury_IC50
85,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,0.0847302919726963,0.0744907892088654,,0.0847302919726963,,-0.0065440865509514,,,,-0.0511121969748582,,,-0.45187172847815,0.0046253349522723,,
86,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-0.371201663677028,,,,1.5952646833613644,-0.763506037864657,-0.5588982031843198,,-0.3545318799586196,,,,-0.0047136971359307,,-0.6877062546910511,
87,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC,-1.1371184576436602,,,,,,,,,,,,,,,
88,CN(C)CCCN1c2ccccc2CCc2ccccc21,0.2308583276509344,,,,,,,,,,,,,,-0.1400815147992842,
89,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,0.2308583276509344,,,,,,,,0.0844845242779614,,,,-0.180804956191612,,-0.2070576194806623,
90,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,0.1059195910426344,,0.1548665635430433,0.1059195910426344,,0.2605757833336427,,,0.0678609473534804,,0.271107097759061,0.0956800882788034,-0.0047136971359307,0.1136818617294949,-0.3319963560889623,-0.2223086213347683
91,N#Cc1ccnc(N2C(=O)CC[C@H]2C(=O)N(c2cncc(F)c2)[C@H](C(=O)NC2CC(F)(F)C2)c2ccccc2Cl)c1,-0.0722365884287579,,,,,,,,,,,,,,,-0.0922136309465593
92,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,1.979296784337428,,,,,0.5616057789976239,,0.3530646869898372,0.4938296796257616,,0.492520133995567,,0.2963162985280504,0.4406139447912678,0.2791077493839964,
93,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,-0.1967944747182536,,-0.3222546911766191,,,,,,-0.1082303117022007,-0.2060141569606014,,,-0.4818349518555932,,-0.1810904219947437,1.5275751273418343
94,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,-0.1967944747182536,,-0.1846467615844895,,,-0.1373642253383949,0.2192530471993238,,-0.3983998803904496,-0.6346555556822512,,,-0.4818349518555932,-0.1085703395298257,,
95,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,0.8032055252817464,,1.111733975867637,0.9298283319869532,,,,,0.6016001196095504,,,,0.3420737890887255,0.8122484144225495,0.9045171920064944,1.129635118669797
96,COc1cccc(N2CCN(C3=Nc4c(F)cccc4[C@H](CC(=O)O)N3c3cc(C(F)(F)F)ccc3OC)CC2)c1,-0.0998844617101972,,,,,,,,,,,,,-0.2897662460190134,,
97,O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,1.58135677566539,1.8684892635267272,,1.589832359484902,,,,,1.379751369993194,,,,1.754724357536856,,2.0442135250676547,
98,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,-0.1176132286706288,0.1695192591907083,-0.1773211837849342,,,-0.3094330077473027,-0.1786869614727138,0.0129268150534802,-0.0922136309465593,,,,-0.4213669015188251,-0.4835862720351263,0.0442135250676549,
