ID,SMILES,Filtered cholestatic Jaundice_IC50,Filtered Hepatic Failure_IC50,Filtered Hepatic necrosi_IC50,Filtered Hepatiti_IC50,Filtered HepatoCellular injury_IC50,Filtered Hepatotoxicity_IC50,Filtered Hyperbilirubinemia_IC50,Filtered Jaundice_IC50,Filtered Liver Injury_IC50
171,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,,0.9700771020950798,,1.3673121165838062,,,,0.986795239259337,
172,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,,2.271107097759061,1.771065425976395,1.9693721079117683,,2.445719377217731,,,
173,Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,,2.271107097759061,,1.066282120919825,,,,1.287825234923318,
174,N#Cc1c(N(CC(=O)[O-])CC(=O)[O-])sc(C(=O)[O-])c1CC(=O)[O-],,-0.728892902240939,-0.8309945653515676,-0.7899504888892008,,-0.554280622782269,,,-0.8276554457791446
175,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,,0.6970758300313422,,0.5808352958153246,,0.8716881094900122,,,
176,Nc1c2c(nc3ccccc13)CCCC2,,0.6690471064310987,0.4700354303124136,0.4558965592070245,1.2465275081779772,1.1446893815537498,1.111733975867637,0.6531648996221338,
177,Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,,-0.2060141569606014,,-0.3222546911766191,,,,,-0.304776700498807
178,CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1,,-0.0810754203523014,,,,,,,
179,COc1cc2c(cc1OC)[C@@H]1CC(=O)[C@@H](CC(C)C)CN1CC2,,0.5721370934230423,,,,,,,
180,S=P(N1CC1)(N1CC1)N1CC1,,2.271107097759061,,,,,,2.9086707606817432,
181,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,,0.8731670890870235,,,,,1.381163834526263,1.2097007563457245,0.7744045455488179
182,CCC[C@@]1(CCc2ccccc2)CC(O)=C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1,,-0.1268329109129766,,-0.2008525132221486,,0.0477793685456934,-0.0269201986608136,-0.3583878890676817,
183,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,,0.0643144486537676,,0.5438749816745454,0.7694062534583147,0.6675681268340874,,0.4929558473754173,0.3941933038372117
184,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1,,-0.4061968543847579,,-0.7172684022279109,1.450647490833902,,,,
185,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,,1.5938031456152422,1.4700354303124137,,1.8485874995059397,2.0477793685456933,,1.7935501296595482,1.4733745498848363
186,CCCC(CCC)C(=O)O,,0.6933648859748707,,2.2065951801229926,,0.9685981224980686,,,
187,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,,0.1193336182471518,0.1178529122010512,-0.0664060919407449,0.1514229717057742,,-0.0018941743046765,0.1403376158842045,
188,C=CC(N)CCC(=O)O,,-1.306635114025129,0.2939441712567324,-1.2705260745966698,,-1.0314018775019314,,-1.2856311163880767,-1.3047767004988071
189,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,,1.0735761276864768,,,,,,,
190,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,,1.170486140694533,0.7260687499005156,1.2065951801229928,,,1.4269104010964475,0.5894301470036234,1.1723445542208557
191,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,,-0.3066351140251293,,-0.2405273169650247,-0.3644073581141704,,-0.0502108536232149,,-0.304776700498807
192,CC(=O)[O-],,1.771065425976395,,,,,,1.7935501296595482,
193,NS(=O)(=O)Cc1noc2ccccc12,,-0.3750626097018432,,,-0.2852261120665456,,,,
194,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,,,-0.0933155348498273,1.3200397773952888,-0.0933155348498273,-0.3102972128870442,,-0.516937168094986,
195,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,,,1.8744794983635968,1.809774452142116,,,,1.3506297969647407,
196,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,,,0.7724512910344479,1.0626247535483806,0.6016001196095504,,1.0626247535483806,0.681721636044629,
197,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,,,1.7806470490763178,1.9526897882927032,1.6807813656571753,,,1.9399583169729984,
198,CCNC(C)Cc1cccc(C(F)(F)F)c1,,,0.7421317924796614,,,,,,
199,Nc1nc(=O)[nH]cc1F,,,0.3441917838076238,,,,,0.2036601109375127,0.2036601109375127
200,CCN(CC)C(=O)[C@]1(c2ccccc2)C[C@@H]1CN,,,0.2100495111107991,0.3734159337450079,0.3227494307267738,,,,
201,COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1,,,-0.6650117522809009,,,,,-0.4301166440034848,
202,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,,,0.8121095024387615,0.9318848356408812,,,1.0477793685456935,0.6976982670836546,
203,CN1Cc2c(N)cccc2C(c2ccccc2)C1,,,0.5143232427515293,0.6308548399768998,0.1428814711721252,,,0.5202830428633051,
